,,Income Statement,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Assumptions:,,Notes:,,,,,,,,,,,,,,,,,
,,Nonoperating Income,0.0,"Not strategically significant, assumed to be zero",,,,,,,,,,,,,,,,,
,,Tax Rate,30%,,,,,,,,,,,,,,,,,,
,,Unusual Expense,0.0,"Not strategically significant, assumed to be zero",,,,,,,,,,,,,,,,,
,,Royalty Rate,10%,NSW State gov. Royalty rate: 10.8% for open cut and 9.8% for underground mining.,,,,,,,,,,,,,,,,,
,,Base Case COGS as a % of sales,45%,5Y hist. avg.,,,,,,,,,,,,,,,,,
,,Coal Purchases,208,5Y hist. avg.,,,,,,,,,,,,,,,,,
,,Depreciation & Amortization Expense,615,Increase according to Whitehaven FY26 Estimate,,,,,,,,,,,,,,,,,
,,SG&A Expense,59,5Y hist. avg. exclu 2024 with sell down of Blackwater,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Income Statement,,,,,,,,,,,,,118.28,,,,,,
,,,2021A,2022A,2023A,2024A,2025A,2026E,2027E,2028E,2029E,2030E,,,73.74,,,,,,
,,Sales (Revenue),1557,4920,6065,3824,5832,6035,6216,6371,6499,6596,,,6.52,,,,,,
,,Other income,7,7,8,5,809,0,0,0,0,0,,,,,,,,,
,,COGS excl. D&A,1031,1142,1292,1992,3655,2722,2804,2874,2931,2975,,,38.02,,0.662410339,0.232053319,0.213025556,0.520920502,0.626714678
,,Royalties,109,369,438,346,663,603,622,637,650,660,,,,,,,,,
,,Coal Purchases,174,308,318,104,138,208,208,208,208,208,,,,,,,,,
,,Depreciation & Amortization Expense,261,239,226,319,607,615,615,615,615,615,,,23.75,,,,,,
,,Gross Income,-11,2870,3799,1068,1578,1886,1967,2037,2094,2138,,,52.29,,,,,,
,,Impairment Loss,-650,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Transaction and transition Expense, Corporate administrative expense",,SG&A Expense,46,49,62,589,79,59,59,59,59,59,,,,,,,,,
,,EBIT (Operating Income),-706,2821,3737,479,1499,1827,1908,1978,2035,2079,,,,,,,,,
,,Non-operating Income - Net,,,82,85,27,-,-,-,-,-,,,,,,,,,
,,Interest on Borrowings,,,2,55,191,-,-,-,-,-,,,,,,,,,
,,Interest on Lease Liabilities,,,7,7,14,-,-,-,-,-,,,,,,,,,
"Interest income, all other finance stuff. Note 5.2 (=net fonance expense/income)",,Unusual Expense - Net,,,-9,7,-390,-,-,-,-,-,,,,,,,,,
,,Pretax Income,,,3801,509,931,1827,1908,1978,2035,2079,,,184.16,5832,,,,,
,,Income Taxes,,,1133,154,282,548,573,593,611,624,,,124.79,809,,,,,
,,Net Profit for the Year,,,2668,355,649,1279,1336,1385,1425,1455,,,21.06,-3655,,,,,
,,Other movements - Net,,,-2,24,-7,-,-,-,-,-,,,,,,,,,
,,Net Income,,,2666,379,642,1279,1336,1385,1425,1455,,,38.31,-663,,,,,
,,,,,,,,,,,,,,,,-138,,,,,
,,,,,,,,,,,,,,,,-463,,,,,
,,,,,,-41,-568,,,,,,,,,-144,,,,,
,,,6065,,,,,,,,,,,,,-26,,,,,
,,,8,,,,-390,,,,,,,,,-53,,,,,
,,,-922,,,,,,,,,,,,,1499,,,,,
,,,-318,,,,,,,,,,,,,,,,,,
,,,-370,,,,,,,,,,,,,,,,,,
,,,-438,,,,,,,,,,,,,,,,,,
,,,-226,,,,,,,,,,,,,,,,,,
,,,-47,,,,,,,,,,,,,,,,,,
,,,-11,,,,,,,,,,,,,,,,,,
,,,-4,,,,,,,,,,,,,,,,,,
,,,3737,,,,,,,,,,,,,,,,,,
